Id,airline,username,retweet_count,text,timestamp,location
0,Virgin America,cairdin,0,@VirginAmerica What @dhepburn said.,2015-02-24 11:35:52 -0800,
1,Virgin America,jnardino,0,@VirginAmerica plus you've added commercials to the experience... tacky.,2015-02-24 11:15:59 -0800,
2,Virgin America,yvonnalynn,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,2015-02-24 11:15:48 -0800,Lets Play
3,Virgin America,jnardino,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2015-02-24 11:15:36 -0800,
4,Virgin America,jnardino,0,@VirginAmerica and it's a really big bad thing about it,2015-02-24 11:14:45 -0800,
5,Virgin America,jnardino,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2015-02-24 11:14:33 -0800,
6,Virgin America,cjmcginnis,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",2015-02-24 11:13:57 -0800,San Francisco CA
7,Virgin America,pilot,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2015-02-24 11:12:29 -0800,Los Angeles
8,Virgin America,dhepburn,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",2015-02-24 11:11:19 -0800,San Diego
9,Virgin America,YupitsTate,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2015-02-24 10:53:27 -0800,Los Angeles
10,Virgin America,idk_but_youtube,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,2015-02-24 10:48:24 -0800,1/1 loner squad
11,Virgin America,HyperCamiLax,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,2015-02-24 10:30:40 -0800,NYC
12,Virgin America,HyperCamiLax,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,2015-02-24 10:30:06 -0800,NYC
13,Virgin America,mollanderson,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,2015-02-24 10:21:28 -0800,
14,Virgin America,sjespers,0,@VirginAmerica Thanks!,2015-02-24 10:15:29 -0800,"San Francisco, CA"
15,Virgin America,smartwatermelon,0,@VirginAmerica SFO-PDX schedule is still MIA.,2015-02-24 10:01:50 -0800,"palo alto, ca"
16,Virgin America,ItzBrianHunty,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2015-02-24 09:42:59 -0800,west covina
17,Virgin America,heatherovieda,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,2015-02-24 09:39:46 -0800,this place called NYC
18,Virgin America,thebrandiray,0,I ❤️ flying @VirginAmerica. ☺️👍,2015-02-24 09:15:00 -0800,Somewhere celebrating life. 
19,Virgin America,JNLpierce,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2015-02-24 09:04:10 -0800,Boston | Waltham
20,Virgin America,MISSGJ,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,2015-02-24 08:55:56 -0800,
21,Virgin America,DT_Les,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,2015-02-24 08:49:01 -0800,
22,Virgin America,ElvinaBeck,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,2015-02-24 08:30:15 -0800,Los Angeles
23,Virgin America,rjlynch21086,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,2015-02-24 08:27:52 -0800,"Boston, MA "
24,Virgin America,ayeevickiee,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,2015-02-24 08:18:51 -0800,714
25,Virgin America,Leora13,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,2015-02-24 07:49:15 -0800,
26,Virgin America,meredithjlynn,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,2015-02-24 07:11:37 -0800,
