Id,Prediction
0,neutral
1,positive
2,neutral
3,negative
4,negative
5,negative
6,positive
7,neutral
8,positive
9,positive
10,neutral
11,positive
12,positive
13,positive
14,positive
15,negative
16,positive
17,negative
18,positive
19,positive
20,negative
21,positive
22,positive
23,neutral
24,negative
25,negative
26,negative
27,neutral
28,negative
29,neutral
30,negative
31,neutral
32,negative
33,negative
34,positive
35,neutral
36,positive
37,positive
38,neutral
39,negative
40,positive
41,negative
42,neutral
43,neutral
44,neutral
45,positive
46,neutral
47,positive
48,neutral
49,neutral
50,neutral
51,positive
52,neutral
53,neutral
54,neutral
55,negative
56,positive
57,positive
58,neutral
59,neutral
60,neutral
61,negative
62,neutral
63,neutral
64,positive
65,neutral
66,negative
67,negative
68,positive
69,negative
70,neutral
71,neutral
72,neutral
73,negative
74,positive
75,positive
76,neutral
77,neutral
78,negative
79,neutral
80,negative
81,positive
82,negative
83,negative
84,negative
85,negative
86,neutral
87,neutral
88,neutral
89,negative
90,neutral
91,neutral
92,negative
93,negative
94,neutral
95,negative
96,negative
97,negative
98,negative
99,negative
100,neutral
101,negative
102,neutral
103,negative
104,negative
105,positive
106,negative
107,negative
108,neutral
109,positive
110,neutral
111,positive
112,neutral
113,positive
114,positive
115,negative
116,positive
117,positive
118,positive
119,positive
120,negative
121,negative
122,negative
123,positive
124,positive
125,neutral
126,negative
127,positive
128,neutral
129,neutral
130,negative
131,negative
132,neutral
133,negative
134,negative
135,negative
136,positive
137,neutral
138,positive
139,negative
140,negative
141,positive
142,neutral
143,negative
144,positive
145,negative
146,negative
147,positive
148,positive
149,negative
150,negative
151,neutral
152,positive
153,neutral
154,neutral
155,neutral
156,neutral
157,negative
158,negative
159,negative
160,negative
161,negative
162,negative
163,negative
164,negative
165,negative
166,neutral
167,negative
168,negative
169,neutral
170,neutral
171,neutral
172,neutral
173,negative
174,negative
175,neutral
176,positive
177,negative
178,negative
179,neutral
180,neutral
181,negative
182,negative
183,positive
184,positive
185,neutral
186,negative
187,negative
188,neutral
189,positive
190,neutral
191,negative
192,negative
193,positive
194,negative
195,negative
196,negative
197,negative
198,negative
199,positive
200,negative
201,positive
202,neutral
203,positive
204,positive
205,positive
206,positive
207,neutral
208,positive
209,negative
210,negative
211,negative
212,positive
213,negative
214,negative
215,neutral
216,negative
217,negative
218,negative
219,negative
220,negative
221,negative
222,positive
223,positive
224,negative
225,neutral
226,negative
227,positive
228,negative
229,positive
230,positive
231,positive
232,negative
233,positive
234,positive
235,positive
236,negative
237,negative
238,positive
239,positive
240,neutral
241,neutral
242,negative
243,negative
244,positive
245,negative
246,positive
247,positive
248,positive
249,negative
250,negative
251,negative
252,positive
253,neutral
254,positive
255,neutral
256,neutral
257,neutral
258,positive
259,negative
260,neutral
261,neutral
262,negative
263,negative
264,positive
265,negative
266,negative
267,neutral
268,neutral
269,positive
270,neutral
271,neutral
272,positive
273,positive
274,negative
275,neutral
276,positive
277,positive
278,neutral
279,neutral
280,negative
281,positive
282,negative
283,neutral
284,neutral
285,neutral
286,neutral
287,negative
288,negative
289,negative
290,neutral
291,neutral
292,negative
293,positive
294,neutral
295,neutral
296,neutral
297,neutral
298,negative
299,neutral
300,neutral
301,negative
302,neutral
303,positive
304,negative
305,negative
306,positive
307,positive
308,positive
309,neutral
310,neutral
311,positive
312,neutral
313,positive
314,negative
315,neutral
316,negative
317,negative
318,neutral
319,neutral
320,negative
321,negative
322,neutral
323,positive
324,positive
325,neutral
326,neutral
327,neutral
328,neutral
329,negative
330,neutral
331,positive
332,positive
333,positive
334,negative
335,negative
336,neutral
337,neutral
338,negative
339,neutral
340,neutral
341,positive
342,positive
343,neutral
344,negative
345,negative
346,negative
347,positive
348,negative
349,negative
350,negative
351,negative
352,neutral
353,negative
354,negative
355,negative
356,neutral
357,neutral
358,positive
359,positive
360,neutral
361,neutral
362,positive
363,positive
364,neutral
365,neutral
366,negative
367,negative
368,negative
369,positive
370,negative
371,negative
372,negative
373,neutral
374,positive
375,positive
376,negative
377,neutral
378,positive
379,positive
380,neutral
381,positive
382,neutral
383,negative
384,positive
385,positive
386,neutral
387,neutral
388,neutral
389,neutral
390,neutral
391,positive
392,positive
393,neutral
394,negative
395,positive
396,negative
397,positive
398,negative
399,negative
400,neutral
401,positive
402,neutral
403,neutral
404,positive
405,neutral
406,positive
407,negative
408,negative
409,negative
410,neutral
411,negative
412,positive
413,neutral
414,neutral
415,positive
416,positive
417,negative
418,negative
419,negative
420,neutral
421,positive
422,positive
423,neutral
424,neutral
425,negative
426,neutral
427,positive
428,neutral
429,positive
430,positive
431,neutral
432,neutral
433,negative
434,negative
435,neutral
436,positive
437,positive
438,neutral
439,positive
440,positive
441,neutral
442,neutral
443,positive
444,negative
445,neutral
446,negative
447,negative
448,negative
449,negative
450,negative
451,positive
452,neutral
453,positive
454,positive
455,positive
456,neutral
457,negative
458,neutral
459,positive
460,neutral
461,neutral
462,neutral
463,positive
464,positive
465,positive
466,positive
467,positive
468,neutral
469,negative
470,positive
471,neutral
472,neutral
473,neutral
474,neutral
475,positive
476,positive
477,positive
478,neutral
479,negative
480,positive
481,negative
482,neutral
483,neutral
484,negative
485,negative
486,negative
487,negative
488,positive
489,neutral
490,positive
491,positive
492,neutral
493,positive
494,negative
495,negative
496,negative
497,neutral
498,positive
499,neutral
500,neutral
501,neutral
502,positive
503,neutral
504,positive
505,positive
506,negative
507,negative
508,positive
509,negative
510,neutral
511,negative
512,neutral
513,negative
514,neutral
515,positive
516,positive
517,neutral
518,negative
519,negative
520,negative
521,positive
522,neutral
523,negative
524,neutral
525,neutral
526,negative
527,positive
528,neutral
529,negative
530,negative
531,neutral
532,neutral
533,negative
534,negative
535,neutral
536,negative
537,negative
538,neutral
539,negative
540,negative
541,negative
542,negative
543,negative
544,negative
545,negative
546,neutral
547,neutral
548,neutral
549,neutral
550,negative
551,neutral
552,positive
553,negative
554,negative
555,negative
556,neutral
557,negative
558,positive
559,negative
560,negative
561,negative
562,positive
563,negative
564,negative
565,negative
566,negative
567,negative
568,negative
569,negative
570,negative
571,neutral
572,negative
573,negative
574,negative
575,negative
576,neutral
577,neutral
578,positive
579,negative
580,negative
581,negative
582,negative
583,negative
584,negative
585,negative
586,negative
587,negative
588,negative
589,positive
590,neutral
591,negative
592,negative
593,negative
594,negative
595,negative
596,negative
597,negative
598,positive
599,neutral
600,positive
601,neutral
602,neutral
603,negative
604,negative
605,negative
606,negative
607,positive
608,negative
609,negative
610,negative
611,positive
612,neutral
613,neutral
614,negative
615,neutral
616,negative
617,neutral
618,negative
619,negative
620,negative
621,negative
622,negative
623,negative
624,negative
625,neutral
626,negative
627,negative
628,neutral
629,neutral
630,negative
631,neutral
632,negative
633,negative
634,negative
635,negative
636,negative
637,negative
638,negative
639,negative
640,negative
641,neutral
642,negative
643,negative
644,negative
645,neutral
646,negative
647,neutral
648,negative
649,negative
650,negative
651,negative
652,neutral
653,negative
654,negative
655,negative
656,negative
657,neutral
658,neutral
659,negative
660,negative
661,negative
662,neutral
663,positive
664,negative
665,negative
666,neutral
667,negative
668,negative
669,neutral
670,positive
671,negative
672,negative
673,negative
674,negative
675,negative
676,negative
677,negative
678,negative
679,neutral
680,positive
681,neutral
682,negative
683,negative
684,negative
685,negative
686,negative
687,positive
688,negative
689,negative
690,positive
691,negative
692,neutral
693,negative
694,negative
695,positive
696,negative
697,negative
698,negative
699,positive
700,negative
701,negative
702,neutral
703,negative
704,negative
705,neutral
706,neutral
707,negative
708,negative
709,positive
710,negative
711,negative
712,negative
713,negative
714,negative
715,negative
716,positive
717,negative
718,negative
719,neutral
720,negative
721,positive
722,positive
723,positive
724,negative
725,neutral
726,negative
727,negative
728,negative
729,negative
730,negative
731,negative
732,neutral
733,negative
734,negative
735,positive
736,negative
737,negative
738,negative
739,neutral
740,negative
741,negative
742,neutral
743,neutral
744,negative
745,positive
746,negative
747,negative
748,neutral
749,negative
750,negative
751,negative
752,negative
753,neutral
754,negative
755,negative
756,negative
757,negative
758,positive
759,negative
760,neutral
761,negative
762,negative
763,negative
764,negative
765,negative
766,neutral
767,negative
768,neutral
769,negative
770,neutral
771,negative
772,negative
773,positive
774,negative
775,positive
776,negative
777,negative
778,negative
779,negative
780,neutral
781,positive
782,positive
783,negative
784,neutral
785,negative
786,negative
787,neutral
788,neutral
789,negative
